Transcript stable ID version,Gene stable ID version,Gene name,Gene type,Gene description
ENST00000624266.1,ENSG00000279788.1,,unprocessed_pseudogene,clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene
ENST00000623225.1,ENSG00000278878.1,,lncRNA,novel transcript
ENST00000624181.1,ENSG00000278878.1,,lncRNA,novel transcript
ENST00000624353.1,ENSG00000280346.1,,processed_pseudogene,mitochondrial ribosomal protein L51 (MRPL51) pseudogene
ENST00000652328.1,ENSG00000286057.1,,TEC,TEC
ENST00000652246.1,ENSG00000286146.1,,TEC,TEC
ENST00000616920.1,ENSG00000278678.1,CYCSP41,processed_pseudogene,CYCS pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:2580]
ENST00000624595.1,ENSG00000279647.1,,unprocessed_pseudogene,clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene
ENST00000624662.1,ENSG00000280372.1,,TEC,TEC
ENST00000443486.1,ENSG00000232797.1,FAM207CP,processed_pseudogene,"family with sequence similarity 207 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:42676]"
ENST00000431829.2,ENSG00000179381.8,OR4K11P,unprocessed_pseudogene,olfactory receptor family 4 subfamily K member 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:15402]
ENST00000619798.1,ENSG00000273692.1,LONRF2P5,processed_pseudogene,LONRF2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54501]
ENST00000624291.1,ENSG00000278931.1,,unprocessed_pseudogene,"ankyrin repeat domain 20 family, member A3 (ANKRD20A3) pseudogene"
ENST00000651888.1,ENSG00000286148.1,,TEC,TEC
ENST00000436429.1,ENSG00000231201.1,,lncRNA,novel transcript
ENST00000623201.1,ENSG00000280436.1,,unprocessed_pseudogene,asparagine synthetase (glutamine-hydrolyzing) (ASNS) pseudogene
ENST00000624968.1,ENSG00000279720.1,SOWAHCP2,processed_pseudogene,SOWAHC pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54506]
ENST00000623518.1,ENSG00000279477.1,,unprocessed_pseudogene,clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene
ENST00000623962.1,ENSG00000279303.1,,TEC,TEC
ENST00000623047.1,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000623106.3,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000625185.3,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000624846.3,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000623313.1,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000623950.1,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000624965.1,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000623324.1,ENSG00000280145.3,,lncRNA,novel transcript
ENST00000624484.1,ENSG00000280019.1,,unprocessed_pseudogene,clustered mitochondria (cluA/CLU1) homolog (Cluh) pseudogene
ENST00000624971.1,ENSG00000280432.1,,TEC,TEC
ENST00000602454.1,ENSG00000270139.1,,lncRNA,novel transcript
ENST00000664748.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000658863.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000666351.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000656127.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000634642.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000634644.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000634708.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000635621.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000635225.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000449602.2,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000654045.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000662630.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000634659.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000670882.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000653886.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000658320.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000659443.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000635525.2,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000669763.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000657904.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000660967.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000655203.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000634853.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000635684.1,ENSG00000229425.3,,lncRNA,novel transcript
ENST00000619252.4,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000623449.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000623436.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000624627.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000624368.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000623914.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000624516.1,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000624412.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000622939.3,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000623050.1,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000624444.1,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000623887.1,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000611026.1,ENSG00000274333.4,,lncRNA,novel transcript
ENST00000613704.1,ENSG00000278381.1,,processed_pseudogene,novel pseudogene
ENST00000623809.1,ENSG00000279728.1,,unprocessed_pseudogene,clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene
ENST00000625598.1,ENSG00000280614.1,,lncRNA,"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1"
ENST00000412442.1,ENSG00000230965.1,SNX18P13,processed_pseudogene,sorting nexin 18 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:39621]
ENST00000623165.3,ENSG00000280018.4,,lncRNA,novel transcript
ENST00000624519.1,ENSG00000280018.4,,lncRNA,novel transcript
ENST00000623347.1,ENSG00000280018.4,,lncRNA,novel transcript
ENST00000624728.1,ENSG00000280018.4,,lncRNA,novel transcript
ENST00000624153.1,ENSG00000280330.1,CTBP2P10,processed_pseudogene,CTBP2 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:54512]
ENST00000624937.1,ENSG00000278955.3,,lncRNA,novel transcript
ENST00000623377.1,ENSG00000279709.1,,unprocessed_pseudogene,clustered mitochondria (cluA/CLU1) homolog (CLUH) pseudogene
ENST00000430815.5,ENSG00000240770.5,C21orf91-OT1,lncRNA,C21orf91 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:16729]
ENST00000430401.5,ENSG00000240770.5,C21orf91-OT1,lncRNA,C21orf91 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:16729]
ENST00000439392.1,ENSG00000240770.5,C21orf91-OT1,lncRNA,C21orf91 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:16729]
