ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	13	2	2	0.000000	17.538462	17.538462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	18	0	0	0
2	29	1	1	0.000000	6.241379	6.241379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	9	0	0	0
3	37	2	1	0.000000	28.891892	28.891892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	66	0	0	0
4	5	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	22	0	0	0
5	7	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	11	0	0	0
6	10760	1	1	0.000000	13.980297	13.980297	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2743	0	0	0
7	30	1	0	0.000000	18.566667	18.566667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0
8	12	0	0	0.000000	24.750000	24.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	16	0	0	0
9	10	1	2	0.000000	39.300000	39.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
10	9	2	1	0.000000	59.111111	40.555556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	24	0	0	0
11	49	1	1	0.000000	18.938776	18.938776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
12	3	1	2	0.000000	69.333333	69.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	38	0	0	0
13	12	2	2	0.000000	98.500000	98.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	57	0	0	0
14	13	1	1	0.000000	59.461538	59.461538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	32	0	0	0
15	1	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	13	0	0	0
16	30	1	2	0.000000	37.400000	37.400000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	48	0	0	0
17	11	1	1	0.000000	18.363636	18.363636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	12	0	0	0
18	5	2	2	0.000000	33.400000	33.400000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	16	0	0	0
19	3	2	2	0.000000	91.333333	79.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	61	0	0	0
20	3	2	3	0.000000	142.000000	142.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	75	0	0	0
21	17	1	1	0.000000	116.411765	67.823529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	86	0	0	0
22	97	1	1	0.000000	23.360825	23.360825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	76	0	0	0
23	40	2	2	0.000000	46.675000	46.675000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	63	0	0	0
24	23	1	1	0.000000	21.869565	21.869565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	18	0	0	0
25	10	2	2	0.000000	56.000000	56.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	45	0	0	0
26	6	2	1	0.000000	55.500000	55.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	30	0	0	0
27	66	2	2	0.000000	76.378788	76.378788	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	147	0	0	0
28	23	1	1	0.000000	46.956522	46.956522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	49	0	0	0
29	24	2	2	0.000000	115.291667	115.291667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	107	0	0	0
30	16	1	2	0.000000	80.687500	80.687500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	53	0	0	0
31	3	2	2	0.000000	131.666667	131.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	82	0	0	0
32	2	2	1	0.000000	94.500000	94.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	57	0	0	0
33	1	2	1	0.000000	75.000000	75.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	47	0	0	0
34	23	1	1	0.000000	15.173913	15.173913	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
35	92	1	1	0.000000	20.369565	20.369565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	47	0	0	0
36	6	2	1	0.000000	20.500000	20.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	15	0	0	0
37	20	1	1	0.000000	19.050000	19.050000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	22	0	0	0
38	4	2	2	0.000000	30.500000	30.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	18	0	0	0
39	6	1	1	0.000000	16.666667	16.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	12	0	0	0
40	6	2	2	0.000000	34.333333	34.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	29	0	0	0
41	25	1	0	0.000000	29.160000	29.160000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	31	0	0	0
42	1	2	2	0.000000	49.000000	49.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	27	0	0	0
43	8	2	2	0.000000	55.250000	55.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	39	0	0	0
44	121	1	1	0.000000	31.487603	31.487603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	95	0	0	0
45	43	1	2	0.000000	26.046512	26.046512	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	33	0	0	0
46	10	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	9	0	0	0
47	10	2	2	0.000000	56.700000	56.700000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	42	0	0	0
48	51	1	1	0.000000	11.666667	11.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	23	0	0	0
49	42	1	1	0.000000	17.476190	17.476190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	21	0	0	0
50	2	2	2	0.000000	28.500000	28.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	15	0	0	0
51	290	1	1	0.000000	24.506897	24.506897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	144	0	0	0
52	167	2	1	0.000000	27.574850	27.574850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	105	0	0	0
53	54	1	1	0.000000	30.555556	30.555556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	51	0	0	0
54	31	1	1	0.000000	15.032258	15.032258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
55	11	1	2	0.000000	34.727273	34.727273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	19	0	0	0
56	8	2	2	0.000000	65.625000	65.625000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	40	0	0	0
57	83	2	1	0.000000	14.433735	14.433735	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	49	0	0	0
58	14	2	1	0.000000	61.214286	61.214286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	54	0	0	0
59	109	2	2	0.000000	83.651376	57.440367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	223	0	0	0
60	29	1	1	0.000000	26.862069	26.862069	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	23	0	0	0
61	58	1	2	0.000000	35.896552	35.896552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	56	0	0	0
62	94	1	0	0.000000	27.351064	27.351064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	76	0	0	0
63	53	1	1	0.000000	21.471698	21.471698	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	45	0	0	0
